SET-WRITE capture start (25G83 adaptation 3)
WRITE t=101412786 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=101412793 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=101412806 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=101412813 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=101412819 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=101413096 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=101413117 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=101480246 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=101480587 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=101480593 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=101480603 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=101480610 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=101480621 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=101480632 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=101480655 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=101629839 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=101629854 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=101629871 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=101629881 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=101629889 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=101629903 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=101629912 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=101629918 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=101630199 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=101630221 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=101647714 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=101648071 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=101648081 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=101648097 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=101648109 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=101648123 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=101648139 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=101648166 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=101746340 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=101746349 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=101746360 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=101746367 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=101746372 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=101746383 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=101746388 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=101746391 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=101746662 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=101746680 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=101913526 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=101913926 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=101913933 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=101913942 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=101913949 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=101913960 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=101913972 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=101913995 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=102012814 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=102012828 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=102012846 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=102012856 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=102012865 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=102012879 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=102012888 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=102012894 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=102013170 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=102013191 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=102047479 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=102047906 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=102047916 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=102047931 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=102047943 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=102047957 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=102047973 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=102048000 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=102162768 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=102162780 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=102162795 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=102162804 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=102162811 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=102162823 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=102162831 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=102162837 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=102163131 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=102163152 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=102263463 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=102263805 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=102263811 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=102263820 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=102263828 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=102263838 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=102263848 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=102263872 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=102379401 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=102379413 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=102379428 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=102379436 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=102379443 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=102379455 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=102379462 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=102379467 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=102379739 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=102379759 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=102665918 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=102666268 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=102666275 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=102666285 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=102666293 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=102666304 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=102666316 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=102666340 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=102750998 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=102751009 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=102751023 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=102751032 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=102751038 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=102751050 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=102751057 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=102751061 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=102751338 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=102751359 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=119697468 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=119697824 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=119697832 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=119697846 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=119697853 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=119697864 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=119697876 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98316 a3=15 a4=0
WRITE t=119698087 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98316 a3=47 a4=0
WRITE t=119698098 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=251658255 a4=0
WRITE t=119698112 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=8192 a3=1 a4=0
WRITE t=119698118 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=520093711 a4=0
SET t=119698142 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=0
WRITE t=119698148 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483648 a4=0
WRITE t=119698157 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=712 a3=15 a4=0
WRITE t=119698169 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=712 a3=268435471 a4=0
SET t=119844075 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=1 a2=8 a3=0 a4=-2197965846200
WRITE t=119844086 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483649 a4=0
SET t=119848700 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=-2197965846200
WRITE t=119848707 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483664 a4=0
SET t=119858125 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=1 a2=8 a3=0 a4=-2197965846200
WRITE t=119858133 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483649 a4=0
SET t=119871901 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=2 a2=8 a3=0 a4=-2197965846200
WRITE t=119871908 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483666 a4=0
SET t=119876534 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=3 a2=8 a3=0 a4=-2197965846200
WRITE t=119876540 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483683 a4=0
SET t=119881232 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=5 a2=8 a3=0 a4=-2197965846200
WRITE t=119881238 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483701 a4=0
SET t=119988505 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=4 a2=8 a3=0 a4=-2197965846200
WRITE t=119988528 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483732 a4=0
SET t=119993153 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=3 a2=8 a3=0 a4=-2197965846200
WRITE t=119993164 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483715 a4=0
SET t=120002580 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=-2197965846200
WRITE t=120002594 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483696 a4=0
SET t=120007197 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=2 a2=8 a3=0 a4=-2197965846200
WRITE t=120007209 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483650 a4=0
SET t=120011899 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=3 a2=8 a3=0 a4=-2197965846200
WRITE t=120011909 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483683 a4=0
SET t=120016632 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=-2197965846200
WRITE t=120016647 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483696 a4=0
SET t=120021237 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=2 a2=8 a3=0 a4=-2197965846200
WRITE t=120021245 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483650 a4=0
SET t=120025898 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=3 a2=8 a3=0 a4=-2197965846200
WRITE t=120025908 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483683 a4=0
SET t=120030630 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=5 a2=8 a3=0 a4=-2197965846200
WRITE t=120030639 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483701 a4=0
SET t=120137032 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=4 a2=8 a3=0 a4=-2197965846200
WRITE t=120137054 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483732 a4=0
SET t=120169883 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=5 a2=8 a3=0 a4=-2197965846200
WRITE t=120169894 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483717 a4=0
SET t=120408491 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=-2197965846200
WRITE t=120408525 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483728 a4=0
SET t=120413086 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=5 a2=8 a3=0 a4=-2197965846200
WRITE t=120413101 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483653 a4=0
SET t=120431892 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=-2197965846200
WRITE t=120431909 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483728 a4=0
SET t=120436212 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=5 a2=8 a3=0 a4=-2197965846200
WRITE t=120436223 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483653 a4=0
SET t=120701939 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=-2197965846200
WRITE t=120701966 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483728 a4=0
SET t=120706555 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=5 a2=8 a3=0 a4=-2197965846200
WRITE t=120706565 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483653 a4=0
SET t=121092922 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=-2197965846200
WRITE t=121092958 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483728 a4=0
SET t=121097619 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=5 a2=8 a3=0 a4=-2197965846200
WRITE t=121097632 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483653 a4=0
SET t=121116315 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=-2197965846200
WRITE t=121116331 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483728 a4=0
SET t=121121003 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=5 a2=8 a3=0 a4=-2197965846200
WRITE t=121121014 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483653 a4=0
SET t=121527520 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=4 a2=8 a3=0 a4=-2197965846200
WRITE t=121527550 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483732 a4=0
SET t=121541226 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=5 a2=8 a3=0 a4=-2197965846200
WRITE t=121541238 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483717 a4=0
SET t=121644148 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=-2197965846200
WRITE t=121644175 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483728 a4=0
SET t=121881863 f=_ZN9ApplePMGR13_setPerfStateEjhj a1=0 a2=8 a3=0 a4=0
WRITE t=121881898 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=2560 a3=2147483648 a4=0
WRITE t=121881913 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=251658495 a4=0
WRITE t=121881924 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=8192 a3=0 a4=0
WRITE t=121881942 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=251659248 a4=0
WRITE t=121881968 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=121881977 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=121881983 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=121881995 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=121882003 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=121882007 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=121882143 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98316 a3=0 a4=0
WRITE t=121882927 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=121882947 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=160744825 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=160745289 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=160745311 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=160745359 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=160745371 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=160745381 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=160745398 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=160745423 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=160833669 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=160833697 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=160833724 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=160833735 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=160833743 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
