# To display the perf.data header info, please use --header/--header-only options.
#
# dso: libmlx.so
#
# Total Lost Samples: 683
#
# Samples: 26K of event 'apple_firestorm_pmu/cycles/Pu'
# Event count (approx.): 10696575481
#
# Overhead  Command  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .......  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.16%  python   [.] mlx::core::omarchy::(anonymous namespace)::plan_values_window(mlx::core::array const&, mlx::core::array const*, std::unordered_map<unsigned long, unsigned long, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> > > const&, std::vector<mlx::core::omarchy::(anonymous namespace)::GemvGroup, std::allocator<mlx::core::omarchy::(anonymous namespace)::GemvGroup> > const&)
     0.16%  python   [.] mlx::core::astype(mlx::core::array, mlx::core::Dtype, bool, std::variant<std::monostate, mlx::core::Stream, mlx::core::ThreadLocalStream, mlx::core::Device, mlx::core::Device::DeviceType>)
     0.15%  python   [.] std::_Hashtable<unsigned long, unsigned long, std::allocator<unsigned long>, std::__detail::_Identity, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::__location_type std::_Hashtable<unsigned long, unsigned long, std::allocator<unsigned long>, std::__detail::_Identity, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_locate_tr<unsigned long>(unsigned long const&) const [clone .isra.0]
     0.14%  python   [.] mlx::core::array::ArrayDesc::ArrayDesc(mlx::core::SmallVector<int, 10ul, std::allocator<int> >, mlx::core::Dtype, std::shared_ptr<mlx::core::Primitive>, std::vector<mlx::core::array, std::allocator<mlx::core::array> >)
     0.14%  python   [.] std::pair<std::__detail::_Node_iterator<unsigned long, true, false>, bool> std::_Hashtable<unsigned long, unsigned long, std::allocator<unsigned long>, std::__detail::_Identity, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_emplace_uniq<unsigned long>(unsigned long&&)
     0.14%  python   [.] mlx::core::omarchy::CommandEncoder::add_temporary(mlx::core::array const&)
     0.13%  python   [.] mlx::core::array::detach()
     0.13%  python   [.] std::pair<std::__detail::_Node_iterator<std::pair<unsigned long const, unsigned long>, false, false>, bool> std::_Hashtable<unsigned long, std::pair<unsigned long const, unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace_uniq<unsigned long, unsigned long&>(unsigned long&&, unsigned long&)
     0.12%  python   [.] mlx::core::omarchy::VulkanAllocator::stamp_batch(std::vector<mlx::core::omarchy::VulkanBuffer*, std::allocator<mlx::core::omarchy::VulkanBuffer*> > const&, unsigned long)
     0.12%  python   [.] mlx::core::array::array(mlx::core::SmallVector<int, 10ul, std::allocator<int> >, mlx::core::Dtype, std::shared_ptr<mlx::core::Primitive>, std::vector<mlx::core::array, std::allocator<mlx::core::array> >)
     0.12%  python   [.] mlx::core::omarchy::VulkanAllocator::free(mlx::core::allocator::Buffer)
     0.12%  python   [.] mlx::core::default_stream(mlx::core::Device)
     0.11%  python   [.] mlx::core::omarchy::(anonymous namespace)::runtime()
     0.11%  python   [.] std::pair<std::_Rb_tree_iterator<mlx::core::Stream>, bool> std::_Rb_tree<mlx::core::Stream, mlx::core::Stream, std::_Identity<mlx::core::Stream>, std::less<mlx::core::Stream>, std::allocator<mlx::core::Stream> >::_M_insert_unique<mlx::core::Stream const&>(mlx::core::Stream const&)
     0.11%  python   [.] mlx::core::omarchy::get_command_encoder(mlx::core::Stream)
     0.11%  python   [.] mlx::core::SmallVector<int, 10ul, std::allocator<int> >::free_storage()
     0.11%  python   [.] std::_Hashtable<unsigned long, unsigned long, std::allocator<unsigned long>, std::__detail::_Identity, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<unsigned long, false>*, unsigned long)
